x: 0.678748, y: 1.246018, inside_circle: no
x: 0.282972, y: 0.046075, inside_circle: yes
x: 1.425448, y: 0.484682, inside_circle: no
x: 0.085957, y: 0.865479, inside_circle: yes
x: -1.277698, y: -0.510450, inside_circle: no
x: 0.251231, y: -1.407083, inside_circle: no
x: 1.285780, y: -1.440743, inside_circle: no
x: 0.838116, y: -0.491865, inside_circle: yes
x: -0.472422, y: -0.255541, inside_circle: yes
x: 1.221940, y: 0.454441, inside_circle: no
x: 0.211890, y: -1.476516, inside_circle: no
x: -0.639143, y: 0.688699, inside_circle: yes
x: 0.607201, y: -0.141133, inside_circle: yes
x: -0.828875, y: 1.116201, inside_circle: no
x: 0.652349, y: 1.156370, inside_circle: no
x: -0.490927, y: 0.514285, inside_circle: yes
x: 0.316571, y: -1.300032, inside_circle: no
x: 0.804725, y: 0.980601, inside_circle: no
x: -1.065438, y: -1.492847, inside_circle: no
x: -0.018378, y: -1.208983, inside_circle: no
x: 0.577067, y: 0.375183, inside_circle: yes
x: 0.764928, y: -0.114608, inside_circle: yes
x: 0.832397, y: 0.754762, inside_circle: no
x: 1.428805, y: -0.966120, inside_circle: no
x: -0.151344, y: 1.006265, inside_circle: no
x: 0.228523, y: -0.300633, inside_circle: yes
x: 0.875384, y: -0.023970, inside_circle: yes
x: 0.127366, y: 0.717886, inside_circle: yes
x: -1.124588, y: -1.113143, inside_circle: no
x: 0.797175, y: -0.172809, inside_circle: yes
x: -0.875204, y: 1.163322, inside_circle: no
x: -0.481742, y: 1.014376, inside_circle: no
x: 1.272815, y: 0.894085, inside_circle: no
x: -0.549473, y: -0.001192, inside_circle: yes
x: -1.094531, y: -0.137178, inside_circle: no
x: 0.140021, y: 1.144970, inside_circle: no
x: 0.677979, y: -0.460700, inside_circle: yes
x: 1.363316, y: 0.293193, inside_circle: no
x: -0.959632, y: -0.450399, inside_circle: no
x: 0.782888, y: 0.041779, inside_circle: yes
x: 1.057945, y: -0.420888, inside_circle: no
x: 0.793175, y: -0.888431, inside_circle: no
x: -0.119663, y: -0.840247, inside_circle: yes
x: -0.313685, y: -1.078830, inside_circle: no
x: 0.704424, y: 0.256026, inside_circle: yes
x: 1.023225, y: 0.801881, inside_circle: no
x: 1.468886, y: 1.241953, inside_circle: no
x: 1.269441, y: 1.126059, inside_circle: no
x: 0.871424, y: 1.169340, inside_circle: no
x: -0.438195, y: -0.398367, inside_circle: yes
x: -1.279794, y: 0.956328, inside_circle: no
x: 0.534162, y: 0.524278, inside_circle: yes
x: 0.536551, y: -0.581483, inside_circle: yes
x: 0.112313, y: -0.599778, inside_circle: yes
x: 0.883357, y: 0.994179, inside_circle: no
x: 0.136513, y: -1.243055, inside_circle: no
x: -0.874594, y: -1.030092, inside_circle: no
x: -0.599837, y: -0.614741, inside_circle: yes
x: -0.743177, y: -0.477545, inside_circle: yes
x: -0.410486, y: 0.217385, inside_circle: yes
x: 1.024655, y: 0.816124, inside_circle: no
x: -0.826534, y: -0.478673, inside_circle: yes
x: 1.445416, y: -0.567845, inside_circle: no
x: -0.439439, y: -0.826864, inside_circle: yes
x: 0.607154, y: 1.100789, inside_circle: no
x: -0.143454, y: -0.100312, inside_circle: yes
x: 0.215886, y: -0.394580, inside_circle: yes
x: -1.488273, y: -1.194414, inside_circle: no
x: -0.836378, y: 1.090303, inside_circle: no
x: 1.437586, y: 0.149013, inside_circle: no
x: -0.464156, y: 1.416725, inside_circle: no
x: 0.535968, y: -0.929055, inside_circle: no
x: -0.764512, y: -0.312166, inside_circle: yes
x: 0.672298, y: 0.705113, inside_circle: yes
x: 0.470823, y: 0.787857, inside_circle: yes
x: -0.481044, y: 1.491858, inside_circle: no
x: 1.143585, y: 0.128703, inside_circle: no
x: -1.369669, y: 0.454735, inside_circle: no
x: -0.547007, y: 0.799261, inside_circle: yes
x: -1.054638, y: -1.070511, inside_circle: no
x: 1.468145, y: -0.416897, inside_circle: no
x: -0.043107, y: 1.378074, inside_circle: no
x: -1.393086, y: -1.127374, inside_circle: no
x: -0.013701, y: -0.504407, inside_circle: yes
x: 0.983801, y: 0.619641, inside_circle: no
x: -0.077642, y: -0.448257, inside_circle: yes
x: 0.577364, y: 0.107668, inside_circle: yes
x: -0.999534, y: -0.128498, inside_circle: no
