f1,f2,generation
0,31.2363,20
0.452097,3.98226,50
0.452097,3.98226,50
0,5.66474,50
0.452097,3.98226,50
0.00409296,5.50962,50
0.452097,3.98226,50
0.0840283,4.13153,50
1,1.3069,100
0,3.0402,100
0.0129419,2.85665,100
0.00493792,2.92732,100
0.408355,1.93053,100
0.432434,1.90333,100
0.491853,1.83274,100
0.35788,2.00921,100
0.549646,1.75414,100
0.339512,2.02693,100
0.0890877,2.5273,100
0.0992318,2.50024,100
0.565151,1.73758,100
0.00200813,2.9795,100
0.157464,2.35679,100
0.875707,1.4155,100
0.301673,2.09797,100
0.936397,1.36378,100
0.0829265,2.55226,100
0.267377,2.15568,100
0.0194277,2.79922,100
0.284743,2.1196,100
0.588012,1.70307,100
0.610434,1.69391,100
0.398888,1.9475,100
0.384963,1.96337,100
0.981993,1.3237,100
0.890969,1.40473,100
0.964803,1.33849,100
0.0301029,2.75176,100
0.73666,1.54858,100
0.171465,2.33197,100
0.639697,1.64778,100
0.461403,1.87092,100
0.279806,2.13393,100
0.47509,1.84588,100
0.0553007,2.63162,100
0.314954,2.07042,100
0.903779,1.39362,100
0.00148484,2.99958,100
0.709097,1.57503,100
0.072819,2.57525,100
0.70097,1.5926,100
0.533393,1.76885,100
0.140958,2.39779,100
0.506973,1.80938,100
0.854864,1.43521,100
0.0373998,2.7154,100
0.369411,1.99051,100
0.0516414,2.66995,100
0.240293,2.19636,100
0.799454,1.49299,100
0.257337,2.17088,100
0.61438,1.67528,100
0.0451571,2.67444,100
0.202204,2.26609,100
0.687456,1.60024,100
0.660587,1.63788,100
0.861785,1.43088,100
0.837972,1.45121,100
0.914635,1.37657,100
0.446729,1.88637,100
0.248578,2.18169,100
0.521631,1.79016,100
0.0401135,2.70781,100
0.22731,2.22191,100
0.378282,1.98358,100
0.752768,1.54556,100
0.0613022,2.6216,100
0.944929,1.35259,100
0.305876,2.07959,100
0.777262,1.50295,100
0.629481,1.66876,100
0.325005,2.04811,100
0.193185,2.29781,100
0.673966,1.62124,100
0.469823,1.85977,100
0.957761,1.35013,100
0.788105,1.49944,100
0.575363,1.71983,100
0.148651,2.37058,100
0.232294,2.21299,100
0.128832,2.41742,100
0.180323,2.31134,100
0.193556,2.28481,100
0.808003,1.47474,100
0.328047,2.04316,100
0.77094,1.5201,100
0.51063,1.80325,100
0.217575,2.24179,100
0.678448,1.61,100
0.0660667,2.59823,100
0.726393,1.56728,100
0.835029,1.45631,100
0.444334,1.8964,100
0.5303,1.78273,100
0.144842,2.38308,100
0.0265144,2.7812,100
0.664442,1.63458,100
0.758715,1.53377,100
1,1.2913,500
0,3.0328,500
0.0532769,2.63088,500
0.496514,1.80591,500
0.0642615,2.59145,500
0.677378,1.60084,500
0.562424,1.72711,500
0.537858,1.75609,500
0.0147619,2.82124,500
0.084288,2.52745,500
0.825613,1.45074,500
0.00543013,2.90475,500
0.579196,1.70794,500
0.659169,1.61929,500
0.04574,2.66052,500
0.126493,2.41353,500
0.520216,1.77693,500
0.804608,1.47073,500
0.549066,1.74276,500
0.000805426,2.98404,500
0.113567,2.44675,500
0.094283,2.49853,500
0.886371,1.39328,500
0.843684,1.43342,500
0.0100511,2.85827,500
0.779676,1.49625,500
0.275952,2.11826,500
0.470944,1.8378,500
0.873494,1.4057,500
0.928746,1.3548,500
0.431381,1.88905,500
0.713977,1.56168,500
0.021706,2.77692,500
0.317635,2.05182,500
0.00279451,2.94087,500
0.328363,2.03539,500
0.898469,1.38265,500
0.455027,1.85824,500
0.477985,1.82981,500
0.0717941,2.56684,500
0.176873,2.30098,500
0.705895,1.57005,500
0.211181,2.23271,500
0.744231,1.53052,500
0.19637,2.26125,500
0.946247,1.33982,500
0.973135,1.31499,500
0.204528,2.24565,500
0.625233,1.65596,500
0.414826,1.91208,500
0.289224,2.09642,500
0.793498,1.48179,500
0.420672,1.9035,500
0.441628,1.87621,500
0.728499,1.54648,500
0.640935,1.63997,500
0.5904,1.6948,500
0.000204844,3.0081,500
0.908804,1.3727,500
0.137065,2.38871,500
0.859713,1.41809,500
0.381383,1.9577,500
0.835151,1.44164,500
0.242739,2.17516,500
0.0335644,2.71385,500
0.752743,1.52209,500
0.510667,1.78854,500
0.2699,2.12856,500
0.153847,2.35006,500
0.110545,2.45456,500
0.358367,1.9904,500
0.0286021,2.73839,500
0.143873,2.37279,500
0.403657,1.92654,500
0.64896,1.62993,500
0.261939,2.14161,500
0.690763,1.58581,500
0.985827,1.30396,500
0.732704,1.54401,500
0.131772,2.40139,500
0.166229,2.32352,500
0.693081,1.58314,500
0.392118,1.9425,500
0.350723,2.00278,500
0.230287,2.19741,500
0.00360501,2.92837,500
0.102873,2.47553,500
0.0766721,2.55076,500
0.256648,2.1508,500
0.181349,2.29145,500
0.236111,2.18678,500
0.365116,1.98057,500
0.0360642,2.70267,500
0.998377,1.293,500
0.0400281,2.68496,500
0.345513,2.00926,500
0.769659,1.50611,500
0.86224,1.41616,500
0.761952,1.51274,500
0.220418,2.21555,500
