x,y,z
-2,-2,3609
-2,-1.9596,3560.68
-2,-1.91919,3512.68
-2,-1.87879,3465.01
-2,-1.83838,3417.67
-2,-1.79798,3370.66
-2,-1.75758,3323.97
-2,-1.71717,3277.61
-2,-1.67677,3231.57
-2,-1.63636,3185.86
-2,-1.59596,3140.48
-2,-1.55556,3095.42
-2,-1.51515,3050.69
-2,-1.47475,3006.29
-2,-1.43434,2962.21
-2,-1.39394,2918.46
-2,-1.35354,2875.03
-2,-1.31313,2831.94
-2,-1.27273,2789.17
-2,-1.23232,2746.72
-2,-1.19192,2704.6
-2,-1.15152,2662.81
-2,-1.11111,2621.35
-2,-1.07071,2580.21
-2,-1.0303,2539.39
-2,-0.989899,2498.91
-2,-0.949495,2458.75
-2,-0.909091,2418.92
-2,-0.868687,2379.41
-2,-0.828283,2340.23
-2,-0.787879,2301.38
-2,-0.747475,2262.85
-2,-0.707071,2224.65
-2,-0.666667,2186.78
-2,-0.626263,2149.23
-2,-0.585859,2112.01
-2,-0.545455,2075.12
-2,-0.505051,2038.55
-2,-0.464646,2002.31
-2,-0.424242,1966.39
-2,-0.383838,1930.8
-2,-0.343434,1895.54
-2,-0.30303,1860.61
-2,-0.262626,1826
-2,-0.222222,1791.72
-2,-0.181818,1757.76
-2,-0.141414,1724.13
-2,-0.10101,1690.83
-2,-0.0606061,1657.85
-2,-0.020202,1625.2
-2,0.020202,1592.88
-2,0.0606061,1560.88
-2,0.10101,1529.21
-2,0.141414,1497.87
-2,0.181818,1466.85
-2,0.222222,1436.16
-2,0.262626,1405.8
-2,0.30303,1375.76
-2,0.343434,1346.05
-2,0.383838,1316.66
-2,0.424242,1287.6
-2,0.464646,1258.87
-2,0.505051,1230.47
-2,0.545455,1202.39
-2,0.585859,1174.64
-2,0.626263,1147.21
-2,0.666667,1120.11
-2,0.707071,1093.34
-2,0.747475,1066.89
-2,0.787879,1040.77
-2,0.828283,1014.98
-2,0.868687,989.512
-2,0.909091,964.372
-2,0.949495,939.558
-2,0.989899,915.071
-2,1.0303,890.91
-2,1.07071,867.076
-2,1.11111,843.568
-2,1.15152,820.387
-2,1.19192,797.532
-2,1.23232,775.003
-2,1.27273,752.802
-2,1.31313,730.926
-2,1.35354,709.378
-2,1.39394,688.155
-2,1.43434,667.259
-2,1.47475,646.69
-2,1.51515,626.447
-2,1.55556,606.531
-2,1.59596,586.941
-2,1.63636,567.678
-2,1.67677,548.741
-2,1.71717,530.13
-2,1.75758,511.847
-2,1.79798,493.889
-2,1.83838,476.258
-2,1.87879,458.954
-2,1.91919,441.976
-2,1.9596,425.325
-2,2,409
-1.9596,-2,3419.34
-1.9596,-1.9596,3372.31
-1.9596,-1.91919,3325.61
-1.9596,-1.87879,3279.23
-1.9596,-1.83838,3233.18
-1.9596,-1.79798,3187.46
-1.9596,-1.75758,3142.06
-1.9596,-1.71717,3096.99
-1.9596,-1.67677,3052.25
-1.9596,-1.63636,3007.83
-1.9596,-1.59596,2963.74
-1.9596,-1.55556,2919.98
-1.9596,-1.51515,2876.54
-1.9596,-1.47475,2833.43
-1.9596,-1.43434,2790.65
-1.9596,-1.39394,2748.19
-1.9596,-1.35354,2706.06
-1.9596,-1.31313,2664.25
-1.9596,-1.27273,2622.77
-1.9596,-1.23232,2581.62
-1.9596,-1.19192,2540.8
-1.9596,-1.15152,2500.3
-1.9596,-1.11111,2460.13
-1.9596,-1.07071,2420.28
-1.9596,-1.0303,2380.76
-1.9596,-0.989899,2341.57
-1.9596,-0.949495,2302.7
-1.9596,-0.909091,2264.16
-1.9596,-0.868687,2225.95
-1.9596,-0.828283,2188.06
-1.9596,-0.787879,2150.5
-1.9596,-0.747475,2113.27
-1.9596,-0.707071,2076.36
-1.9596,-0.666667,2039.78
-1.9596,-0.626263,2003.52
-1.9596,-0.585859,1967.6
-1.9596,-0.545455,1931.99
-1.9596,-0.505051,1896.72
-1.9596,-0.464646,1861.77
-1.9596,-0.424242,1827.15
-1.9596,-0.383838,1792.85
-1.9596,-0.343434,1758.89
-1.9596,-0.30303,1725.24
-1.9596,-0.262626,1691.93
-1.9596,-0.222222,1658.94
-1.9596,-0.181818,1626.27
-1.9596,-0.141414,1593.94
-1.9596,-0.10101,1561.93
-1.9596,-0.0606061,1530.24
-1.9596,-0.020202,1498.89
-1.9596,0.020202,1467.86
-1.9596,0.0606061,1437.15
-1.9596,0.10101,1406.78
-1.9596,0.141414,1376.73
-1.9596,0.181818,1347
-1.9596,0.222222,1317.6
-1.9596,0.262626,1288.53
-1.9596,0.30303,1259.79
-1.9596,0.343434,1231.37
-1.9596,0.383838,1203.28
-1.9596,0.424242,1175.51
-1.9596,0.464646,1148.07
-1.9596,0.505051,1120.96
-1.9596,0.545455,1094.17
-1.9596,0.585859,1067.71
-1.9596,0.626263,1041.58
-1.9596,0.666667,1015.77
-1.9596,0.707071,990.294
-1.9596,0.747475,965.141
-1.9596,0.787879,940.314
-1.9596,0.828283,915.813
-1.9596,0.868687,891.639
-1.9596,0.909091,867.792
-1.9596,0.949495,844.271
-1.9596,0.989899,821.076
-1.9596,1.0303,798.208
-1.9596,1.07071,775.667
-1.9596,1.11111,753.452
-1.9596,1.15152,731.563
-1.9596,1.19192,710.001
-1.9596,1.23232,688.766
-1.9596,1.27273,667.857
-1.9596,1.31313,647.274
-1.9596,1.35354,627.018
-1.9596,1.39394,607.088
