x,y,z
-2,-2,0.809773
-2,-1.9596,0.970966
-2,-1.91919,1.14017
-2,-1.87879,1.31174
-2,-1.83838,1.48027
-2,-1.79798,1.64072
-2,-1.75758,1.78858
-2,-1.71717,1.92002
-2,-1.67677,2.03192
-2,-1.63636,2.12195
-2,-1.59596,2.18856
-2,-1.55556,2.23101
-2,-1.51515,2.24927
-2,-1.47475,2.24401
-2,-1.43434,2.2165
-2,-1.39394,2.16848
-2,-1.35354,2.10213
-2,-1.31313,2.0199
-2,-1.27273,1.92444
-2,-1.23232,1.8185
-2,-1.19192,1.70482
-2,-1.15152,1.58608
-2,-1.11111,1.46479
-2,-1.07071,1.34328
-2,-1.0303,1.22362
-2,-0.989899,1.10761
-2,-0.949495,0.99677
-2,-0.909091,0.892314
-2,-0.868687,0.795164
-2,-0.828283,0.705968
-2,-0.787879,0.625111
-2,-0.747475,0.552745
-2,-0.707071,0.488814
-2,-0.666667,0.433087
-2,-0.626263,0.385184
-2,-0.585859,0.344613
-2,-0.545455,0.310792
-2,-0.505051,0.283082
-2,-0.464646,0.260809
-2,-0.424242,0.243285
-2,-0.383838,0.229832
-2,-0.343434,0.219794
-2,-0.30303,0.21255
-2,-0.262626,0.20753
-2,-0.222222,0.204219
-2,-0.181818,0.202167
-2,-0.141414,0.200991
-2,-0.10101,0.200383
-2,-0.0606061,0.200108
-2,-0.020202,0.20001
-2,0.020202,0.20001
-2,0.0606061,0.200108
-2,0.10101,0.200383
-2,0.141414,0.200991
-2,0.181818,0.202167
-2,0.222222,0.204219
-2,0.262626,0.20753
-2,0.30303,0.21255
-2,0.343434,0.219794
-2,0.383838,0.229832
-2,0.424242,0.243285
-2,0.464646,0.260809
-2,0.505051,0.283082
-2,0.545455,0.310792
-2,0.585859,0.344613
-2,0.626263,0.385184
-2,0.666667,0.433087
-2,0.707071,0.488814
-2,0.747475,0.552745
-2,0.787879,0.625111
-2,0.828283,0.705968
-2,0.868687,0.795164
-2,0.909091,0.892314
-2,0.949495,0.99677
-2,0.989899,1.10761
-2,1.0303,1.22362
-2,1.07071,1.34328
-2,1.11111,1.46479
-2,1.15152,1.58608
-2,1.19192,1.70482
-2,1.23232,1.8185
-2,1.27273,1.92444
-2,1.31313,2.0199
-2,1.35354,2.10213
-2,1.39394,2.16848
-2,1.43434,2.2165
-2,1.47475,2.24401
-2,1.51515,2.24927
-2,1.55556,2.23101
-2,1.59596,2.18856
-2,1.63636,2.12195
-2,1.67677,2.03192
-2,1.71717,1.92002
-2,1.75758,1.78858
-2,1.79798,1.64072
-2,1.83838,1.48027
-2,1.87879,1.31174
-2,1.91919,1.14017
-2,1.9596,0.970966
-2,2,0.809773
-1.9596,-2,0.970966
-1.9596,-1.9596,1.14378
-1.9596,-1.91919,1.3191
-1.9596,-1.87879,1.49116
-1.9596,-1.83838,1.6546
-1.9596,-1.79798,1.80461
-1.9596,-1.75758,1.9371
-1.9596,-1.71717,2.04873
-1.9596,-1.67677,2.13703
-1.9596,-1.63636,2.2004
-1.9596,-1.59596,2.23808
-1.9596,-1.55556,2.25012
-1.9596,-1.51515,2.23731
-1.9596,-1.47475,2.2011
-1.9596,-1.43434,2.14348
-1.9596,-1.39394,2.06687
-1.9596,-1.35354,1.97402
-1.9596,-1.31313,1.86789
-1.9596,-1.27273,1.75151
-1.9596,-1.23232,1.6279
-1.9596,-1.19192,1.50001
-1.9596,-1.15152,1.37058
-1.9596,-1.11111,1.24213
-1.9596,-1.07071,1.11689
-1.9596,-1.0303,0.99677
-1.9596,-0.989899,0.883353
-1.9596,-0.949495,0.777878
-1.9596,-0.909091,0.681253
-1.9596,-0.868687,0.594071
-1.9596,-0.828283,0.516634
-1.9596,-0.787879,0.44898
-1.9596,-0.747475,0.390918
-1.9596,-0.707071,0.342065
-1.9596,-0.666667,0.301879
-1.9596,-0.626263,0.269695
-1.9596,-0.585859,0.244761
-1.9596,-0.545455,0.226266
-1.9596,-0.505051,0.213368
-1.9596,-0.464646,0.205221
-1.9596,-0.424242,0.200991
-1.9596,-0.383838,0.199881
-1.9596,-0.343434,0.201137
-1.9596,-0.30303,0.204063
-1.9596,-0.262626,0.208031
-1.9596,-0.222222,0.21248
-1.9596,-0.181818,0.21693
-1.9596,-0.141414,0.220977
-1.9596,-0.10101,0.224295
-1.9596,-0.0606061,0.226643
-1.9596,-0.020202,0.227857
-1.9596,0.020202,0.227857
-1.9596,0.0606061,0.226643
-1.9596,0.10101,0.224295
-1.9596,0.141414,0.220977
-1.9596,0.181818,0.21693
-1.9596,0.222222,0.21248
-1.9596,0.262626,0.208031
-1.9596,0.30303,0.204063
-1.9596,0.343434,0.201137
-1.9596,0.383838,0.199881
-1.9596,0.424242,0.200991
-1.9596,0.464646,0.205221
-1.9596,0.505051,0.213368
-1.9596,0.545455,0.226266
-1.9596,0.585859,0.244761
-1.9596,0.626263,0.269695
-1.9596,0.666667,0.301879
-1.9596,0.707071,0.342065
-1.9596,0.747475,0.390918
-1.9596,0.787879,0.44898
-1.9596,0.828283,0.516634
-1.9596,0.868687,0.594071
-1.9596,0.909091,0.681253
-1.9596,0.949495,0.777878
-1.9596,0.989899,0.883353
-1.9596,1.0303,0.99677
-1.9596,1.07071,1.11689
-1.9596,1.11111,1.24213
-1.9596,1.15152,1.37058
-1.9596,1.19192,1.50001
-1.9596,1.23232,1.6279
-1.9596,1.27273,1.75151
-1.9596,1.31313,1.86789
-1.9596,1.35354,1.97402
-1.9596,1.39394,2.06687
-1.9596,1.43434,2.14348
-1.9596,1.47475,2.2011
-1.9596,1.51515,2.23731
-1.9596,1.55556,2.25012
-1.9596,1.59596,2.23808
-1.9596,1.63636,2.2004
-1.9596,1.67677,2.13703
-1.9596,1.71717,2.04873
-1.9596,1.75758,1.9371
-1.9596,1.79798,1.80461
-1.9596,1.83838,1.6546
-1.9596,1.87879,1.49116
-1.9596,1.91919,1.3191
-1.9596,1.9596,1.14378
-1.9596,2,0.970966
-1.91919,-2,1.14017
-1.91919,-1.9596,1.3191
-1.91919,-1.91919,1.49478
-1.91919,-1.87879,1.66151
-1.91919,-1.83838,1.81415
-1.91919,-1.79798,1.94829
-1.91919,-1.75758,2.06038
-1.91919,-1.71717,2.14778
-1.91919,-1.67677,2.20878
-1.91919,-1.63636,2.24259
-1.91919,-1.59596,2.2493
-1.91919,-1.55556,2.22984
-1.91919,-1.51515,2.18582
-1.91919,-1.47475,2.11945
-1.91919,-1.43434,2.03345
-1.91919,-1.39394,1.93083
-1.91919,-1.35354,1.81488
-1.91919,-1.31313,1.68892
-1.91919,-1.27273,1.5563
-1.91919,-1.23232,1.42022
