x,y,z
-10.24,-10.24,1.75529e+009
-10.24,-10.0331,1.62824e+009
-10.24,-9.82626,1.51689e+009
-10.24,-9.61939,1.4195e+009
-10.24,-9.41253,1.33449e+009
-10.24,-9.20566,1.26044e+009
-10.24,-8.99879,1.19605e+009
-10.24,-8.79192,1.14017e+009
-10.24,-8.58505,1.09177e+009
-10.24,-8.37818,1.04991e+009
-10.24,-8.17131,1.01377e+009
-10.24,-7.96444,9.8261e+008
-10.24,-7.75758,9.55768e+008
-10.24,-7.55071,9.32665e+008
-10.24,-7.34384,9.12787e+008
-10.24,-7.13697,8.95679e+008
-10.24,-6.9301,8.80945e+008
-10.24,-6.72323,8.68236e+008
-10.24,-6.51636,8.57248e+008
-10.24,-6.30949,8.47717e+008
-10.24,-6.10263,8.39415e+008
-10.24,-5.89576,8.32145e+008
-10.24,-5.68889,8.25737e+008
-10.24,-5.48202,8.20046e+008
-10.24,-5.27515,8.1495e+008
-10.24,-5.06828,8.10344e+008
-10.24,-4.86141,8.0614e+008
-10.24,-4.65455,8.02265e+008
-10.24,-4.44768,7.98657e+008
-10.24,-4.24081,7.95267e+008
-10.24,-4.03394,7.92051e+008
-10.24,-3.82707,7.88977e+008
-10.24,-3.6202,7.86016e+008
-10.24,-3.41333,7.83147e+008
-10.24,-3.20646,7.80352e+008
-10.24,-2.9996,7.77617e+008
-10.24,-2.79273,7.7493e+008
-10.24,-2.58586,7.72284e+008
-10.24,-2.37899,7.69672e+008
-10.24,-2.17212,7.67088e+008
-10.24,-1.96525,7.6453e+008
-10.24,-1.75838,7.61994e+008
-10.24,-1.55152,7.59478e+008
-10.24,-1.34465,7.56981e+008
-10.24,-1.13778,7.54501e+008
-10.24,-0.930909,7.52038e+008
-10.24,-0.72404,7.49591e+008
-10.24,-0.517172,7.4716e+008
-10.24,-0.310303,7.44745e+008
-10.24,-0.103434,7.42344e+008
-10.24,0.103434,7.39959e+008
-10.24,0.310303,7.37589e+008
-10.24,0.517172,7.35234e+008
-10.24,0.72404,7.32893e+008
-10.24,0.930909,7.30569e+008
-10.24,1.13778,7.28259e+008
-10.24,1.34465,7.25966e+008
-10.24,1.55152,7.2369e+008
-10.24,1.75838,7.21431e+008
-10.24,1.96525,7.1919e+008
-10.24,2.17212,7.16969e+008
-10.24,2.37899,7.14771e+008
-10.24,2.58586,7.12597e+008
-10.24,2.79273,7.10451e+008
-10.24,2.9996,7.08337e+008
-10.24,3.20646,7.06261e+008
-10.24,3.41333,7.04231e+008
-10.24,3.6202,7.02255e+008
-10.24,3.82707,7.00345e+008
-10.24,4.03394,6.98516e+008
-10.24,4.24081,6.96787e+008
-10.24,4.44768,6.9518e+008
-10.24,4.65455,6.93722e+008
-10.24,4.86141,6.92449e+008
-10.24,5.06828,6.91403e+008
-10.24,5.27515,6.90633e+008
-10.24,5.48202,6.90201e+008
-10.24,5.68889,6.90178e+008
-10.24,5.89576,6.90653e+008
-10.24,6.10263,6.91726e+008
-10.24,6.30949,6.93518e+008
-10.24,6.51636,6.96171e+008
-10.24,6.72323,6.9985e+008
