Dataset,ID,IsNonDominated,Obj1,Obj2,Obj3,Obj4,Obj5
2D_100,1,0,86.4074,49.1205,0,0,0
2D_100,2,0,64.5619,82.6139,0,0,0
2D_100,3,0,9.85657,5.68605,0,0,0
2D_100,4,0,59.6318,3.36103,0,0,0
2D_100,5,0,41.9214,58.1955,0,0,0
2D_100,6,0,77.0443,82.4008,0,0,0
2D_100,7,0,19.4831,7.21955,0,0,0
2D_100,8,0,80.5844,50.4504,0,0,0
2D_100,9,0,35.7235,86.3689,0,0,0
2D_100,10,0,31.6792,82.8363,0,0,0
2D_100,11,1,83.9092,87.0643,0,0,0
2D_100,12,0,6.03441,6.25187,0,0,0
2D_100,13,0,23.3153,54.2173,0,0,0
2D_100,14,0,10.3392,39.3179,0,0,0
2D_100,15,0,46.2901,23.9501,0,0,0
2D_100,16,0,42.8423,94.5823,0,0,0
2D_100,17,0,33.9421,75.6483,0,0,0
2D_100,18,0,63.4411,58.904,0,0,0
2D_100,19,0,17.1907,70.9432,0,0,0
2D_100,20,0,37.6351,71.0234,0,0,0
2D_100,21,0,65.5554,13.631,0,0,0
2D_100,22,0,2.27707,73.7524,0,0,0
2D_100,23,0,82.2317,49.452,0,0,0
2D_100,24,0,82.32,52.9398,0,0,0
2D_100,25,0,14.6421,11.5945,0,0,0
2D_100,26,0,54.8199,67.5596,0,0,0
2D_100,27,0,48.8997,10.7979,0,0,0
2D_100,28,1,98.6658,12.273,0,0,0
2D_100,29,0,24.9899,56.4515,0,0,0
2D_100,30,0,88.1603,55.4554,0,0,0
2D_100,31,0,39.4006,37.9287,0,0,0
2D_100,32,0,71.2637,10.4909,0,0,0
2D_100,33,1,81.2693,91.8286,0,0,0
2D_100,34,0,67.6265,10.5534,0,0,0
2D_100,35,0,19.8524,35.1101,0,0,0
2D_100,36,0,93.4779,60.773,0,0,0
2D_100,37,0,37.448,25.2872,0,0,0
2D_100,38,0,60.0402,89.5153,0,0,0
2D_100,39,0,16.5018,76.966,0,0,0
2D_100,40,0,32.6547,69.8426,0,0,0
2D_100,41,0,36.3512,5.13421,0,0,0
2D_100,42,0,8.69749,77.1115,0,0,0
2D_100,43,0,58.5059,62.4374,0,0,0
2D_100,44,0,17.8601,54.5764,0,0,0
2D_100,45,0,82.6486,42.5809,0,0,0
2D_100,46,0,48.2378,89.2552,0,0,0
2D_100,47,0,74.8061,89.6736,0,0,0
2D_100,48,0,40.842,11.2137,0,0,0
2D_100,49,0,38.1462,77.1599,0,0,0
2D_100,50,0,2.04663,98.4029,0,0,0
2D_100,51,0,91.0848,63.121,0,0,0
2D_100,52,0,38.8647,0.560787,0,0,0
2D_100,53,0,6.23418,18.6434,0,0,0
2D_100,54,0,29.3033,23.7066,0,0,0
2D_100,55,0,25.869,57.5657,0,0,0
2D_100,56,0,11.9865,15.9653,0,0,0
2D_100,57,0,75.2261,12.9416,0,0,0
2D_100,58,0,8.12819,5.17323,0,0,0
2D_100,59,0,69.5029,91.1594,0,0,0
2D_100,60,0,60.7571,68.209,0,0,0
2D_100,61,0,46.9775,31.1213,0,0,0
2D_100,62,0,82.7356,37.1487,0,0,0
2D_100,63,0,60.383,54.3777,0,0,0
2D_100,64,0,69.939,76.7031,0,0,0
2D_100,65,0,41.6004,37.621,0,0,0
2D_100,66,0,80.709,70.6203,0,0,0
2D_100,67,0,55.517,25.7972,0,0,0
2D_100,68,0,81.0264,42.3163,0,0,0
2D_100,69,1,96.185,81.3975,0,0,0
2D_100,70,0,48.912,61.1312,0,0,0
2D_100,71,0,41.223,19.8717,0,0,0
2D_100,72,0,80.6228,12.3694,0,0,0
2D_100,73,0,53.5437,84.4737,0,0,0
2D_100,74,0,46.3461,15.3868,0,0,0
2D_100,75,0,76.3052,20.8429,0,0,0
2D_100,76,0,50.0282,45.1513,0,0,0
2D_100,77,0,54.343,32.6896,0,0,0
2D_100,78,0,73.3535,32.0321,0,0,0
2D_100,79,0,92.2265,74.9928,0,0,0
2D_100,80,0,29.0067,76.524,0,0,0
2D_100,81,0,8.07999,61.8172,0,0,0
2D_100,82,0,53.4962,14.0601,0,0,0
2D_100,83,1,39.7402,99.5332,0,0,0
2D_100,84,0,50.2017,56.1271,0,0,0
2D_100,85,0,4.5778,29.5201,0,0,0
2D_100,86,0,19.2252,72.8228,0,0,0
2D_100,87,0,5.43393,2.35479,0,0,0
2D_100,88,0,50.063,28.5024,0,0,0
