Dataset,ID,IsNonDominated,FrontID,Obj1,Obj2,Obj3,Obj4,Obj5
Task1_2D_100,1,0,0,11.0276,33.9618,0,0,0
Task1_2D_100,2,0,0,39.4634,78.4249,0,0,0
Task1_2D_100,3,0,0,2.42121,35.1429,0,0,0
Task1_2D_100,4,0,0,59.7603,9.74776,0,0,0
Task1_2D_100,5,0,0,78.8487,65.2768,0,0,0
Task1_2D_100,6,0,0,10.0308,12.4967,0,0,0
Task1_2D_100,7,0,0,90.0006,37.2501,0,0,0
Task1_2D_100,8,0,0,39.8566,73.4983,0,0,0
Task1_2D_100,9,0,0,3.92667,73.4912,0,0,0
Task1_2D_100,10,1,0,96.2582,85.2229,0,0,0
Task1_2D_100,11,0,0,48.7988,68.9362,0,0,0
Task1_2D_100,12,0,0,46.0128,30.2587,0,0,0
Task1_2D_100,13,0,0,71.2027,37.0875,0,0,0
Task1_2D_100,14,0,0,85.3328,64.4867,0,0,0
Task1_2D_100,15,0,0,56.9746,64.7623,0,0,0
Task1_2D_100,16,1,0,61.0313,91.8523,0,0,0
Task1_2D_100,17,0,0,67.3875,6.88504,0,0,0
Task1_2D_100,18,0,0,6.57456,55.9899,0,0,0
Task1_2D_100,19,0,0,73.51,83.9547,0,0,0
Task1_2D_100,20,0,0,86.3544,32.3257,0,0,0
Task1_2D_100,21,0,0,69.0513,67.9962,0,0,0
Task1_2D_100,22,0,0,73.4847,51.6448,0,0,0
Task1_2D_100,23,0,0,44.6208,29.6037,0,0,0
Task1_2D_100,24,0,0,0.993852,86.0351,0,0,0
Task1_2D_100,25,1,0,95.2496,87.6393,0,0,0
Task1_2D_100,26,0,0,89.1891,32.6584,0,0,0
Task1_2D_100,27,0,0,79.7616,65.6231,0,0,0
Task1_2D_100,28,0,0,52.0397,14.2363,0,0,0
Task1_2D_100,29,0,0,10.5689,71.8253,0,0,0
Task1_2D_100,30,0,0,27.855,36.5223,0,0,0
Task1_2D_100,31,0,0,14.0597,62.8636,0,0,0
Task1_2D_100,32,0,0,4.65153,29.4236,0,0,0
Task1_2D_100,33,0,0,47.4247,88.0441,0,0,0
Task1_2D_100,34,0,0,56.8624,6.81709,0,0,0
Task1_2D_100,35,0,0,24.6534,10.1538,0,0,0
Task1_2D_100,36,0,0,23.8012,55.6316,0,0,0
Task1_2D_100,37,0,0,92.0843,50.2755,0,0,0
Task1_2D_100,38,0,0,71.611,63.1126,0,0,0
Task1_2D_100,39,0,0,9.01859,71.3949,0,0,0
Task1_2D_100,40,1,0,48.107,96.5733,0,0,0
Task1_2D_100,41,0,0,93.8533,66.3308,0,0,0
Task1_2D_100,42,0,0,7.30046,20.054,0,0,0
Task1_2D_100,43,0,0,30.4698,16.3022,0,0,0
Task1_2D_100,44,0,0,96.0541,1.64677,0,0,0
Task1_2D_100,45,0,0,0.274297,87.1036,0,0,0
Task1_2D_100,46,0,0,90.5088,74.2664,0,0,0
Task1_2D_100,47,0,0,0.987673,29.5864,0,0,0
Task1_2D_100,48,0,0,1.62454,5.35961,0,0,0
Task1_2D_100,49,0,0,47.4781,10.6891,0,0,0
Task1_2D_100,50,0,0,62.6071,48.6622,0,0,0
Task1_2D_100,51,0,0,35.9951,69.3558,0,0,0
Task1_2D_100,52,0,0,25.4573,53.5908,0,0,0
Task1_2D_100,53,0,0,57.4845,50.5022,0,0,0
Task1_2D_100,54,0,0,56.874,9.61585,0,0,0
Task1_2D_100,55,0,0,8.18331,65.2728,0,0,0
Task1_2D_100,56,0,0,26.3091,59.0586,0,0,0
Task1_2D_100,57,0,0,50.6475,4.79529,0,0,0
Task1_2D_100,58,0,0,59.1727,3.20827,0,0,0
Task1_2D_100,59,0,0,37.6575,93.1084,0,0,0
Task1_2D_100,60,0,0,84.6487,30.1629,0,0,0
Task1_2D_100,61,0,0,20.27,25.5087,0,0,0
Task1_2D_100,62,0,0,57.6521,10.3451,0,0,0
Task1_2D_100,63,0,0,17.6919,30.9715,0,0,0
Task1_2D_100,64,0,0,87.092,3.72852,0,0,0
Task1_2D_100,65,0,0,24.2096,84.2052,0,0,0
Task1_2D_100,66,0,0,10.412,17.0671,0,0,0
Task1_2D_100,67,0,0,84.4745,75.5029,0,0,0
Task1_2D_100,68,0,0,45.1069,80.9124,0,0,0
Task1_2D_100,69,0,0,28.8673,39.1475,0,0,0
Task1_2D_100,70,0,0,44.9143,28.5734,0,0,0
Task1_2D_100,71,0,0,58.9323,40.4423,0,0,0
Task1_2D_100,72,0,0,0.175155,25.9183,0,0,0
Task1_2D_100,73,0,0,90.7104,52.8844,0,0,0
Task1_2D_100,74,0,0,41.1248,69.1164,0,0,0
Task1_2D_100,75,0,0,91.8609,34.4335,0,0,0
Task1_2D_100,76,0,0,61.9406,75.7797,0,0,0
Task1_2D_100,77,0,0,8.54708,50.3362,0,0,0
Task1_2D_100,78,0,0,22.3209,59.718,0,0,0
Task1_2D_100,79,1,0,98.3266,76.3012,0,0,0
Task1_2D_100,80,0,0,39.942,72.9646,0,0,0
Task1_2D_100,81,0,0,47.5652,22.2816,0,0,0
Task1_2D_100,82,0,0,50.0978,42.5493,0,0,0
Task1_2D_100,83,0,0,28.2738,78.8234,0,0,0
Task1_2D_100,84,0,0,66.9211,21.7975,0,0,0
Task1_2D_100,85,1,0,14.5006,99.5063,0,0,0
Task1_2D_100,86,0,0,13.8387,66.5787,0,0,0
Task1_2D_100,87,0,0,29.3123,42.5407,0,0,0
Task1_2D_100,88,0,0,26.0389,89.7402,0,0,0
Task1_2D_100,89,0,0,73.3985,78.8034,0,0,0
Task1_2D_100,90,0,0,91.2589,3.52925,0,0,0
Task1_2D_100,91,0,0,52.5152,14.227,0,0,0
Task1_2D_100,92,0,0,62.8632,51.9388,0,0,0
Task1_2D_100,93,0,0,80.7922,14.1047,0,0,0
Task1_2D_100,94,0,0,12.7954,58.0825,0,0,0
Task1_2D_100,95,0,0,86.2701,20.9643,0,0,0
Task1_2D_100,96,0,0,94.3331,48.9673,0,0,0
Task1_2D_100,97,0,0,90.2173,60.0186,0,0,0
Task1_2D_100,98,0,0,69.7927,55.997,0,0,0
Task1_2D_100,99,0,0,8.25947,77.8736,0,0,0
Task1_2D_100,100,0,0,42.5926,50.9482,0,0,0
Task1_5D_1000,1,0,0,8.42757,32.2834,94.1047,33.9837,32.3821
Task1_5D_1000,2,0,0,4.18887,64.2476,62.2994,98.3814,32.2014
Task1_5D_1000,3,0,0,44.83,30.6294,40.3091,90.7638,48.8548
Task1_5D_1000,4,0,0,95.5067,92.5608,13.0716,20.2794,4.80718
Task1_5D_1000,5,0,0,71.2421,44.414,16.8514,13.4119,2.04086
Task1_5D_1000,6,0,0,88.4793,82.3103,0.356717,30.4702,16.9383
Task1_5D_1000,7,0,0,9.24983,14.9106,49.1221,9.07953,45.0852
Task1_5D_1000,8,0,0,37.1479,92.5108,83.628,50.3472,18.6328
Task1_5D_1000,9,0,0,3.86925,56.8579,75.8436,23.2903,19.2539
Task1_5D_1000,10,0,0,59.0648,58.2689,79.0697,67.8742,0.827077
Task1_5D_1000,11,0,0,87.8139,41.3373,35.3892,1.11216,82.7101
Task1_5D_1000,12,1,0,45.432,99.7607,82.8481,63.3062,22.134
Task1_5D_1000,13,0,0,82.3333,36.4513,65.7932,6.11976,74.0137
Task1_5D_1000,14,0,0,6.62251,64.1291,72.9958,29.2028,7.8236
Task1_5D_1000,15,1,0,87.554,39.7458,92.3428,69.4557,96.9345
Task1_5D_1000,16,1,0,57.9872,98.9099,44.0882,48.9493,11.4976
Task1_5D_1000,17,0,0,0.437842,16.624,44.3529,46.0911,27.0745
Task1_5D_1000,18,0,0,27.3692,42.0318,4.13105,28.6115,20.5658
Task1_5D_1000,19,0,0,18.6805,82.6752,26.5762,66.9331,62.5167
Task1_5D_1000,20,0,0,89.1715,68.5399,13.4465,28.9966,69.8319
Task1_5D_1000,21,0,0,46.5988,20.4319,46.4292,90.2106,16.453
Task1_5D_1000,22,0,0,51.3281,50.1656,51.5227,29.7074,61.9961
Task1_5D_1000,23,0,0,85.2604,79.5961,50.165,38.774,63.3126
Task1_5D_1000,24,0,0,79.5528,46.9542,16.7811,22.9112,73.422
Task1_5D_1000,25,0,0,21.1409,26.5975,72.5085,34.624,40.6262
Task1_5D_1000,26,1,0,36.194,98.9706,99.0087,47.6954,92.4985
Task1_5D_1000,27,0,0,47.6408,39.0543,5.73913,68.1153,43.6699
Task1_5D_1000,28,0,0,43.3412,69.4949,24.9846,83.3835,75.8035
Task1_5D_1000,29,0,0,10.9532,29.17,12.3053,51.7532,39.3009
Task1_5D_1000,30,0,0,79.9937,5.35073,11.0768,35.7831,23.5782
Task1_5D_1000,31,0,0,46.7826,90.4836,66.1151,43.6834,74.7598
Task1_5D_1000,32,0,0,19.7739,77.5763,4.69244,32.2164,34.8299
Task1_5D_1000,33,0,0,32.6266,42.1319,5.22224,51.0253,47.6755
Task1_5D_1000,34,0,0,24.1239,52.4852,33.7245,34.2344,90.0282
Task1_5D_1000,35,0,0,46.961,6.36754,12.6129,53.3631,73.4836
Task1_5D_1000,36,0,0,7.53921,37.3739,84.2034,20.3223,7.42477
Task1_5D_1000,37,0,0,4.41978,92.737,38.3127,31.0753,26.0873
Task1_5D_1000,38,0,0,42.8178,15.3203,47.4252,11.1721,9.04307
Task1_5D_1000,39,0,0,34.845,43.3855,53.9792,34.7046,15.3091
Task1_5D_1000,40,0,0,75.623,60.1655,57.0527,82.0999,5.31362
Task1_5D_1000,41,0,0,68.265,69.0873,49.651,5.84262,84.1139
Task1_5D_1000,42,0,0,81.284,51.7812,31.7213,75.6486,23.5311
Task1_5D_1000,43,1,0,96.9099,95.0409,23.221,82.8862,47.3096
Task1_5D_1000,44,0,0,32.9048,48.1639,68.6762,25.7242,69.2893
Task1_5D_1000,45,1,0,97.8734,31.3728,26.4414,82.6931,77.1899
Task1_5D_1000,46,0,0,57.0763,52.0648,14.0515,40.8741,41.6474
Task1_5D_1000,47,0,0,75.6152,41.0222,68.7414,24.291,50.5208
Task1_5D_1000,48,0,0,30.2115,48.6915,22.5661,5.15113,18.1797
Task1_5D_1000,49,0,0,18.398,60.8735,90.4311,51.3859,55.8308
Task1_5D_1000,50,0,0,65.886,81.8714,41.0793,10.0269,8.14109
Task1_5D_1000,51,1,0,58.2428,98.6587,86.3676,46.75,40.0518
Task1_5D_1000,52,0,0,50.497,59.8998,80.5936,92.7065,15.1576
Task1_5D_1000,53,1,0,61.351,31.9716,88.4491,99.5193,76.5575
Task1_5D_1000,54,0,0,31.3894,51.8886,23.0451,96.8286,31.3388
Task1_5D_1000,55,0,0,96.4673,90.2842,29.6764,40.2118,27.4968
Task1_5D_1000,56,0,0,44.4031,15.3488,21.1325,15.9142,60.4165
Task1_5D_1000,57,0,0,57.4096,59.3926,65.2156,0.654045,73.7234
Task1_5D_1000,58,0,0,89.6328,1.20087,36.7472,18.0016,39.0088
Task1_5D_1000,59,0,0,33.8629,83.1486,29.016,38.1838,16.9631
Task1_5D_1000,60,1,0,86.0065,49.6633,88.0708,88.4576,25.5895
Task1_5D_1000,61,0,0,74.6013,50.351,55.5977,67.5027,70.8721
Task1_5D_1000,62,0,0,57.0848,34.2743,70.3981,11.7221,85.7887
Task1_5D_1000,63,0,0,3.55045,4.60178,88.152,81.7346,80.3367
Task1_5D_1000,64,0,0,54.0654,49.4458,75.3956,1.52914,67.1668
Task1_5D_1000,65,0,0,2.10845,58.2145,77.2369,86.098,87.4611
Task1_5D_1000,66,0,0,22.4979,20.6002,11.3264,97.1696,82.8994
Task1_5D_1000,67,1,0,97.4908,69.6639,87.5473,60.3073,90.4416
Task1_5D_1000,68,0,0,77.2239,28.261,17.1595,11.5217,80.893
Task1_5D_1000,69,0,0,13.9528,53.0503,83.9198,53.7166,75.8812
Task1_5D_1000,70,0,0,60.722,71.0656,29.4534,9.45562,94.6393
Task1_5D_1000,71,0,0,22.9033,17.994,12.3417,87.0427,21.5058
Task1_5D_1000,72,0,0,17.8635,57.6657,86.9273,80.7464,24.3565
Task1_5D_1000,73,0,0,18.1933,58.5389,44.2553,77.1079,69.2274
Task1_5D_1000,74,0,0,66.597,79.4637,40.0503,38.0454,48.9163
Task1_5D_1000,75,0,0,12.6017,5.25911,3.29619,52.1773,32.8572
Task1_5D_1000,76,0,0,40.0442,44.4754,51.0621,43.0776,55.0011
Task1_5D_1000,77,0,0,59.6093,79.1147,21.6402,56.8815,35.5284
Task1_5D_1000,78,0,0,15.1089,34.1291,68.2801,39.6172,34.184
Task1_5D_1000,79,0,0,79.9968,33.8768,0.50888,46.7768,56.1502
Task1_5D_1000,80,1,0,8.97214,89.8933,79.2941,69.3705,89.7967
Task1_5D_1000,81,0,0,14.1343,67.6697,26.0623,73.9794,23.1388
Task1_5D_1000,82,0,0,43.9505,86.9408,21.1089,68.5495,97.7809
Task1_5D_1000,83,0,0,63.8548,88.0045,4.81277,10.4123,65.355
Task1_5D_1000,84,0,0,12.1292,85.51,90.6153,3.69772,66.6666
Task1_5D_1000,85,0,0,38.665,73.7349,12.9737,2.78088,85.6817
Task1_5D_1000,86,1,0,39.1884,73.0839,90.3172,50.0249,95.5286
Task1_5D_1000,87,0,0,40.8464,11.1345,48.7791,93.3051,17.2047
Task1_5D_1000,88,0,0,61.8335,79.9285,37.8318,84.0141,39.6569
Task1_5D_1000,89,0,0,71.4956,46.6578,17.1903,97.509,9.15117
Task1_5D_1000,90,0,0,55.5638,39.4532,59.805,98.3439,68.9837
Task1_5D_1000,91,0,0,17.1257,56.8681,55.1157,47.34,4.42635
Task1_5D_1000,92,0,0,11.4704,43.2611,95.1967,77.8696,83.2022
Task1_5D_1000,93,0,0,27.1411,1.10494,27.702,22.0093,5.54483
Task1_5D_1000,94,0,0,25.5024,64.3403,91.9949,45.9201,46.737
Task1_5D_1000,95,0,0,43.8032,2.79225,63.7749,92.9463,97.3373
Task1_5D_1000,96,1,0,94.1804,27.4607,88.3621,97.8726,99.9937
Task1_5D_1000,97,1,0,84.69,9.00554,93.9513,47.8585,97.7716
Task1_5D_1000,98,0,0,63.6413,47.732,18.1435,36.4084,53.4584
Task1_5D_1000,99,0,0,2.47184,34.9532,59.7196,25.995,67.8609
Task1_5D_1000,100,1,0,69.0763,96.1295,99.2087,74.5214,65.299
Task1_5D_1000,101,0,0,32.0963,8.00289,56.5311,48.9395,88.9258
Task1_5D_1000,102,0,0,57.6711,93.5898,48.1529,42.7712,4.76437
Task1_5D_1000,103,0,0,3.29892,79.1983,9.17554,54.5873,33.9803
Task1_5D_1000,104,0,0,4.92138,17.0604,78.7657,42.692,21.6475
Task1_5D_1000,105,0,0,92.9137,74.0673,46.8402,49.1755,71.3493
Task1_5D_1000,106,0,0,72.9029,49.7373,3.64044,79.0513,73.2883
Task1_5D_1000,107,1,0,91.233,93.9664,92.5023,14.2439,7.02292
Task1_5D_1000,108,0,0,24.042,31.3582,72.3047,19.865,27.2315
Task1_5D_1000,109,0,0,71.8365,29.5965,8.57856,47.6599,71.1555
Task1_5D_1000,110,1,0,6.23938,49.649,99.7105,86.6528,71.8239
Task1_5D_1000,111,0,0,38.0362,30.159,16.6344,29.2015,29.3503
Task1_5D_1000,112,0,0,44.2217,93.5728,32.4954,1.73702,94.9698
Task1_5D_1000,113,0,0,62.5015,25.0411,4.64696,79.33,17.9594
Task1_5D_1000,114,0,0,52.8345,27.9458,71.0557,54.3736,10.6238
Task1_5D_1000,115,0,0,47.8459,7.8947,76.4852,20.2674,23.9884
Task1_5D_1000,116,0,0,66.9238,5.51292,72.4511,80.5921,72.1224
Task1_5D_1000,117,0,0,13.5885,29.7024,12.3235,83.4172,97.7507
Task1_5D_1000,118,0,0,25.6017,21.2382,40.0588,84.1791,2.3829
Task1_5D_1000,119,0,0,68.5274,60.0923,76.6511,19.6803,90.8212
Task1_5D_1000,120,0,0,69.2555,80.9105,17.417,73.397,64.5321
Task1_5D_1000,121,0,0,27.9223,62.8531,3.78533,29.3624,98.8646
Task1_5D_1000,122,0,0,8.74676,62.5304,19.7846,4.34152,10.6197
Task1_5D_1000,123,1,0,99.1388,6.51536,70.5065,54.632,68.009
Task1_5D_1000,124,0,0,75.528,62.6508,74.5116,67.9848,44.8427
Task1_5D_1000,125,0,0,70.2595,44.76,60.4024,42.135,30.8416
Task1_5D_1000,126,0,0,6.1375,95.282,36.2563,51.9243,8.50204
Task1_5D_1000,127,0,0,28.5157,48.3418,52.6969,6.63231,84.617
Task1_5D_1000,128,1,0,79.2613,7.44666,82.9265,98.0068,72.6746
Task1_5D_1000,129,0,0,58.4554,24.5848,62.7409,40.7993,10.576
Task1_5D_1000,130,0,0,56.0173,55.9961,15.8364,65.0446,62.4557
Task1_5D_1000,131,0,0,49.7659,89.9456,57.3937,47.5556,39.3152
Task1_5D_1000,132,0,0,18.0581,3.93282,73.0147,60.7993,38.2717
Task1_5D_1000,133,0,0,62.4892,32.8524,36.5503,57.1985,39.9214
