f1,f2
1.7444e-005,0.995836
1,8.28198e-007
0.466065,0.317319
0.4128,0.357519
0.846574,0.0799088
0.133745,0.634289
0.326619,0.428952
0.344245,0.413287
0.119361,0.654516
0.82105,0.0938948
0.958119,0.0211661
0.668609,0.182319
0.208754,0.543149
0.706248,0.159619
0.58051,0.238106
0.292996,0.458722
0.374454,0.388081
0.799282,0.106
0.917071,0.0429511
0.355822,0.403495
0.154379,0.607094
0.59453,0.228946
0.514374,0.283804
0.6077,0.220695
0.028906,0.830073
0.0122663,0.889251
0.63358,0.204026
0.623723,0.215264
0.43451,0.341255
0.490621,0.299693
0.490621,0.299693
0.394321,0.372111
0.312963,0.440571
0.541002,0.264481
0.0333171,0.817478
0.566159,0.247588
0.221528,0.529344
0.742838,0.151218
0.891397,0.0558623
0.904922,0.0487289
0.646877,0.195801
0.971862,0.014213
0.879681,0.0620893
0.0166835,0.87512
0.00822313,0.909334
0.180304,0.575387
0.657323,0.18925
0.764429,0.125686
0.938118,0.0317496
0.368789,0.392725
0.813246,0.0982005
0.396884,0.370134
0.0620144,0.750976
0.935568,0.0334083
0.0479617,0.781176
0.280692,0.470236
0.14374,0.622365
0.198007,0.556537
0.688959,0.169983
0.0196023,0.859993
0.0701402,0.735161
0.45056,0.328771
0.52938,0.272422
0.194657,0.56032
0.272342,0.478139
0.688959,0.169983
0.000322824,0.982668
0.183492,0.571918
0.227788,0.522816
0.864898,0.0760076
0.167254,0.591036
0.111768,0.665704
0.167001,0.591387
0.746744,0.135865
0.752662,0.132444
0.774898,0.11972
0.056088,0.763174
0.00384874,0.937974
0.0791513,0.718984
0.0226299,0.84958
0.0907102,0.704628
0.783739,0.114721
0.039529,0.801234
0.55521,0.257994
0.152686,0.621809
0.245067,0.504985
0.436956,0.3394
0.314125,0.439541
0.7222,0.152746
0.988206,0.00773651
0.0972784,0.688121
0.0462841,0.784889
0.448813,0.330095
0.0780089,0.7207
0.0696016,0.74268
0.2886,0.462888
0.250277,0.499735
0.26546,0.484777
0.0407161,0.798271
0.00121718,0.967449
